Starting sensor readings... Press CTRL+C to stop
2025-03-20 22:22:46 - 1 - 100 cm
2025-03-20 22:22:46 - 2 - 100 cm
2025-03-20 22:22:46 - 3 - 100 cm
2025-03-20 22:22:46 - 4 - 100 cm
2025-03-20 22:22:46 - 5 - 100 cm
2025-03-20 22:22:46 - 6 - 100 cm
2025-03-20 22:22:48 - 1 - 100 cm
2025-03-20 22:22:48 - 2 - 100 cm
2025-03-20 22:22:48 - 3 - 100 cm
2025-03-20 22:22:48 - 4 - 100 cm
2025-03-20 22:22:48 - 5 - 100 cm
2025-03-20 22:22:48 - 6 - 100 cm
2025-03-20 22:22:50 - 1 - 100 cm
2025-03-20 22:22:50 - 2 - 100 cm
2025-03-20 22:22:50 - 3 - 100 cm
2025-03-20 22:22:50 - 4 - 100 cm
2025-03-20 22:22:50 - 5 - 100 cm
2025-03-20 22:22:50 - 6 - 100 cm
2025-03-20 22:22:52 - 1 - 100 cm
2025-03-20 22:22:52 - 2 - 100 cm
2025-03-20 22:22:52 - 3 - 100 cm
2025-03-20 22:22:52 - 4 - 100 cm
2025-03-20 22:22:52 - 5 - 100 cm
2025-03-20 22:22:52 - 6 - 100 cm
2025-03-20 22:22:53 - 1 - 100 cm
2025-03-20 22:22:53 - 2 - 100 cm
2025-03-20 22:22:53 - 3 - 100 cm
2025-03-20 22:22:53 - 4 - 100 cm
2025-03-20 22:22:53 - 5 - 100 cm
2025-03-20 22:22:53 - 6 - 100 cm
2025-03-20 22:22:55 - 1 - 100 cm
2025-03-20 22:22:55 - 2 - 100 cm
2025-03-20 22:22:55 - 3 - 100 cm
2025-03-20 22:22:55 - 4 - 100 cm
2025-03-20 22:22:55 - 5 - 100 cm
2025-03-20 22:22:55 - 6 - 100 cm
2025-03-20 22:22:57 - 1 - 100 cm
2025-03-20 22:22:57 - 2 - 100 cm
2025-03-20 22:22:57 - 3 - 100 cm
2025-03-20 22:22:57 - 4 - 100 cm
2025-03-20 22:22:57 - 5 - 100 cm
2025-03-20 22:22:57 - 6 - 100 cm
2025-03-20 22:23:00 - 1 - 100 cm
2025-03-20 22:23:00 - 2 - 100 cm
2025-03-20 22:23:00 - 3 - 100 cm
2025-03-20 22:23:00 - 4 - 100 cm
2025-03-20 22:23:00 - 5 - 100 cm
2025-03-20 22:23:00 - 6 - 100 cm
2025-03-20 22:23:01 - 1 - 100 cm
2025-03-20 22:23:01 - 2 - 100 cm
2025-03-20 22:23:01 - 3 - 100 cm
2025-03-20 22:23:01 - 4 - 100 cm
2025-03-20 22:23:01 - 5 - 100 cm
